FID,OBJECTID,DEPTH,DOWLKNUM,abs_depth,LAKE_NAME,Shape_Leng,e,n
185,1128902,0,3008500,0,Bad Medicine,19472.02438,319534,5223895
186,1128902,0,3008500,0,Bad Medicine,19472.02438,319543,5223891
187,1128902,0,3008500,0,Bad Medicine,19472.02438,319548,5223888
188,1128902,0,3008500,0,Bad Medicine,19472.02438,319551,5223884
189,1128902,0,3008500,0,Bad Medicine,19472.02438,319556,5223879
190,1128902,0,3008500,0,Bad Medicine,19472.02438,319558,5223874
191,1128902,0,3008500,0,Bad Medicine,19472.02438,319563,5223870
192,1128902,0,3008500,0,Bad Medicine,19472.02438,319567,5223865
193,1128902,0,3008500,0,Bad Medicine,19472.02438,319570,5223859
194,1128902,0,3008500,0,Bad Medicine,19472.02438,319575,5223854
195,1128902,0,3008500,0,Bad Medicine,19472.02438,319580,5223849
196,1128902,0,3008500,0,Bad Medicine,19472.02438,319585,5223847
197,1128902,0,3008500,0,Bad Medicine,19472.02438,319592,5223844
198,1128902,0,3008500,0,Bad Medicine,19472.02438,319597,5223845
199,1128902,0,3008500,0,Bad Medicine,19472.02438,319604,5223847
200,1128902,0,3008500,0,Bad Medicine,19472.02438,319614,5223853
201,1128902,0,3008500,0,Bad Medicine,19472.02438,319616,5223855
202,1128902,0,3008500,0,Bad Medicine,19472.02438,319622,5223857
203,1128902,0,3008500,0,Bad Medicine,19472.02438,319627,5223860
204,1128902,0,3008500,0,Bad Medicine,19472.02438,319634,5223865
205,1128902,0,3008500,0,Bad Medicine,19472.02438,319638,5223869
206,1128902,0,3008500,0,Bad Medicine,19472.02438,319645,5223873
207,1128902,0,3008500,0,Bad Medicine,19472.02438,319648,5223875
208,1128902,0,3008500,0,Bad Medicine,19472.02438,319652,5223878
209,1128902,0,3008500,0,Bad Medicine,19472.02438,319655,5223879
210,1128902,0,3008500,0,Bad Medicine,19472.02438,319660,5223881
211,1128902,0,3008500,0,Bad Medicine,19472.02438,319664,5223885
212,1128902,0,3008500,0,Bad Medicine,19472.02438,319666,5223889
213,1128902,0,3008500,0,Bad Medicine,19472.02438,319666,5223893
214,1128902,0,3008500,0,Bad Medicine,19472.02438,319665,5223899
215,1128902,0,3008500,0,Bad Medicine,19472.02438,319664,5223906
216,1128902,0,3008500,0,Bad Medicine,19472.02438,319664,5223912
217,1128902,0,3008500,0,Bad Medicine,19472.02438,319664,5223918
218,1128902,0,3008500,0,Bad Medicine,19472.02438,319666,5223923
219,1128902,0,3008500,0,Bad Medicine,19472.02438,319668,5223926
220,1128902,0,3008500,0,Bad Medicine,19472.02438,319676,5223928
221,1128902,0,3008500,0,Bad Medicine,19472.02438,319686,5223929
222,1128902,0,3008500,0,Bad Medicine,19472.02438,319691,5223929
223,1128902,0,3008500,0,Bad Medicine,19472.02438,319697,5223929
224,1128902,0,3008500,0,Bad Medicine,19472.02438,319698,5223926
225,1128902,0,3008500,0,Bad Medicine,19472.02438,319702,5223925
226,1128902,0,3008500,0,Bad Medicine,19472.02438,319707,5223927
227,1128902,0,3008500,0,Bad Medicine,19472.02438,319712,5223927
228,1128902,0,3008500,0,Bad Medicine,19472.02438,319721,5223926
229,1128902,0,3008500,0,Bad Medicine,19472.02438,319727,5223927
230,1128902,0,3008500,0,Bad Medicine,19472.02438,319736,5223930
231,1128902,0,3008500,0,Bad Medicine,19472.02438,319742,5223930
232,1128902,0,3008500,0,Bad Medicine,19472.02438,319756,5223933
233,1128902,0,3008500,0,Bad Medicine,19472.02438,319760,5223934
234,1128902,0,3008500,0,Bad Medicine,19472.02438,319764,5223936
235,1128902,0,3008500,0,Bad Medicine,19472.02438,319770,5223939
236,1128902,0,3008500,0,Bad Medicine,19472.02438,319777,5223941
237,1128902,0,3008500,0,Bad Medicine,19472.02438,319782,5223943
238,1128902,0,3008500,0,Bad Medicine,19472.02438,319785,5223945
239,1128902,0,3008500,0,Bad Medicine,19472.02438,319789,5223949
240,1128902,0,3008500,0,Bad Medicine,19472.02438,319792,5223953
241,1128902,0,3008500,0,Bad Medicine,19472.02438,319795,5223958
242,1128902,0,3008500,0,Bad Medicine,19472.02438,319800,5223963
243,1128902,0,3008500,0,Bad Medicine,19472.02438,319805,5223965
244,1128902,0,3008500,0,Bad Medicine,19472.02438,319809,5223966
245,1128902,0,3008500,0,Bad Medicine,19472.02438,319813,5223966
246,1128902,0,3008500,0,Bad Medicine,19472.02438,319818,5223964
247,1128902,0,3008500,0,Bad Medicine,19472.02438,319823,5223961
248,1128902,0,3008500,0,Bad Medicine,19472.02438,319825,5223961
249,1128902,0,3008500,0,Bad Medicine,19472.02438,319828,5223962
250,1128902,0,3008500,0,Bad Medicine,19472.02438,319832,5223964
251,1128902,0,3008500,0,Bad Medicine,19472.02438,319834,5223965
252,1128902,0,3008500,0,Bad Medicine,19472.02438,319839,5223968
253,1128902,0,3008500,0,Bad Medicine,19472.02438,319842,5223971
254,1128902,0,3008500,0,Bad Medicine,19472.02438,319846,5223975
255,1128902,0,3008500,0,Bad Medicine,19472.02438,319851,5223981
256,1128902,0,3008500,0,Bad Medicine,19472.02438,319852,5223985
257,1128902,0,3008500,0,Bad Medicine,19472.02438,319853,5223990
258,1128902,0,3008500,0,Bad Medicine,19472.02438,319853,5223995
259,1128902,0,3008500,0,Bad Medicine,19472.02438,319855,5224003
260,1128902,0,3008500,0,Bad Medicine,19472.02438,319856,5224008
261,1128902,0,3008500,0,Bad Medicine,19472.02438,319857,5224012
262,1128902,0,3008500,0,Bad Medicine,19472.02438,319857,5224019
263,1128902,0,3008500,0,Bad Medicine,19472.02438,319857,5224026
264,1128902,0,3008500,0,Bad Medicine,19472.02438,319856,5224031
265,1128902,0,3008500,0,Bad Medicine,19472.02438,319855,5224036
266,1128902,0,3008500,0,Bad Medicine,19472.02438,319855,5224043
267,1128902,0,3008500,0,Bad Medicine,19472.02438,319856,5224049
268,1128902,0,3008500,0,Bad Medicine,19472.02438,319855,5224054
269,1128902,0,3008500,0,Bad Medicine,19472.02438,319856,5224059
270,1128902,0,3008500,0,Bad Medicine,19472.02438,319858,5224064
271,1128902,0,3008500,0,Bad Medicine,19472.02438,319858,5224069
272,1128902,0,3008500,0,Bad Medicine,19472.02438,319861,5224074
273,1128902,0,3008500,0,Bad Medicine,19472.02438,319861,5224080
274,1128902,0,3008500,0,Bad Medicine,19472.02438,319863,5224085
275,1128902,0,3008500,0,Bad Medicine,19472.02438,319863,5224091
276,1128902,0,3008500,0,Bad Medicine,19472.02438,319861,5224097
277,1128902,0,3008500,0,Bad Medicine,19472.02438,319860,5224101
278,1128902,0,3008500,0,Bad Medicine,19472.02438,319857,5224106
279,1128902,0,3008500,0,Bad Medicine,19472.02438,319855,5224109
280,1128902,0,3008500,0,Bad Medicine,19472.02438,319852,5224112
281,1128902,0,3008500,0,Bad Medicine,19472.02438,319849,5224116
282,1128902,0,3008500,0,Bad Medicine,19472.02438,319847,5224121
283,1128902,0,3008500,0,Bad Medicine,19472.02438,319847,5224126
284,1128902,0,3008500,0,Bad Medicine,19472.02438,319847,5224129
285,1128902,0,3008500,0,Bad Medicine,19472.02438,319847,5224132
286,1128902,0,3008500,0,Bad Medicine,19472.02438,319847,5224137
287,1128902,0,3008500,0,Bad Medicine,19472.02438,319847,5224142
288,1128902,0,3008500,0,Bad Medicine,19472.02438,319848,5224147
289,1128902,0,3008500,0,Bad Medicine,19472.02438,319848,5224152
290,1128902,0,3008500,0,Bad Medicine,19472.02438,319848,5224160
291,1128902,0,3008500,0,Bad Medicine,19472.02438,319848,5224165
292,1128902,0,3008500,0,Bad Medicine,19472.02438,319847,5224170
293,1128902,0,3008500,0,Bad Medicine,19472.02438,319847,5224175
294,1128902,0,3008500,0,Bad Medicine,19472.02438,319846,5224177
295,1128902,0,3008500,0,Bad Medicine,19472.02438,319847,5224182
296,1128902,0,3008500,0,Bad Medicine,19472.02438,319849,5224186
297,1128902,0,3008500,0,Bad Medicine,19472.02438,319853,5224189
298,1128902,0,3008500,0,Bad Medicine,19472.02438,319856,5224192
299,1128902,0,3008500,0,Bad Medicine,19472.02438,319865,5224194
300,1128902,0,3008500,0,Bad Medicine,19472.02438,319873,5224196
301,1128902,0,3008500,0,Bad Medicine,19472.02438,319881,5224196
302,1128902,0,3008500,0,Bad Medicine,19472.02438,319886,5224198
303,1128902,0,3008500,0,Bad Medicine,19472.02438,319908,5224198
304,1128902,0,3008500,0,Bad Medicine,19472.02438,319933,5224194
305,1128902,0,3008500,0,Bad Medicine,19472.02438,319941,5224188
306,1128902,0,3008500,0,Bad Medicine,19472.02438,319964,5224179
307,1128902,0,3008500,0,Bad Medicine,19472.02438,319983,5224177
308,1128902,0,3008500,0,Bad Medicine,19472.02438,320002,5224174
309,1128902,0,3008500,0,Bad Medicine,19472.02438,320023,5224167
310,1128902,0,3008500,0,Bad Medicine,19472.02438,320039,5224159
311,1128902,0,3008500,0,Bad Medicine,19472.02438,320056,5224155
312,1128902,0,3008500,0,Bad Medicine,19472.02438,320066,5224146
313,1128902,0,3008500,0,Bad Medicine,19472.02438,320079,5224136
314,1128902,0,3008500,0,Bad Medicine,19472.02438,320086,5224126
315,1128902,0,3008500,0,Bad Medicine,19472.02438,320090,5224111
316,1128902,0,3008500,0,Bad Medicine,19472.02438,320089,5224094
317,1128902,0,3008500,0,Bad Medicine,19472.02438,320089,5224080
318,1128902,0,3008500,0,Bad Medicine,19472.02438,320089,5224069
319,1128902,0,3008500,0,Bad Medicine,19472.02438,320091,5224052
320,1128902,0,3008500,0,Bad Medicine,19472.02438,320090,5224044
321,1128902,0,3008500,0,Bad Medicine,19472.02438,320087,5224032
322,1128902,0,3008500,0,Bad Medicine,19472.02438,320084,5224021
323,1128902,0,3008500,0,Bad Medicine,19472.02438,320077,5224011
324,1128902,0,3008500,0,Bad Medicine,19472.02438,320068,5223993
325,1128902,0,3008500,0,Bad Medicine,19472.02438,320067,5223983
326,1128902,0,3008500,0,Bad Medicine,19472.02438,320066,5223973
327,1128902,0,3008500,0,Bad Medicine,19472.02438,320074,5223961
328,1128902,0,3008500,0,Bad Medicine,19472.02438,320087,5223946
329,1128902,0,3008500,0,Bad Medicine,19472.02438,320091,5223939
330,1128902,0,3008500,0,Bad Medicine,19472.02438,320098,5223929
331,1128902,0,3008500,0,Bad Medicine,19472.02438,320099,5223916
332,1128902,0,3008500,0,Bad Medicine,19472.02438,320096,5223903
333,1128902,0,3008500,0,Bad Medicine,19472.02438,320091,5223880
334,1128902,0,3008500,0,Bad Medicine,19472.02438,320091,5223866
335,1128902,0,3008500,0,Bad Medicine,19472.02438,320091,5223851
336,1128902,0,3008500,0,Bad Medicine,19472.02438,320093,5223836
337,1128902,0,3008500,0,Bad Medicine,19472.02438,320094,5223821
338,1128902,0,3008500,0,Bad Medicine,19472.02438,320096,5223810
339,1128902,0,3008500,0,Bad Medicine,19472.02438,320094,5223798
340,1128902,0,3008500,0,Bad Medicine,19472.02438,320097,5223785
